Elliptic curve parameters:
name = secp256k1
mode = test
p = 10007
a = 48
b = 22
g = (4, 1668)
n = 9967

----------------------------------------------------------------------------------------------------------------------------------------------------------------------
case  s           s_zk        s_rxk       s_zr        z           r           x           k           q           a           m1                  m2                  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
A     7659        3           7656        8007        3311        4277        4814        8501        348         3           1                   2611/1276           
A     4381        175         4206        5783        4013        3188        7299        8452        1402        175         1                   1694/701            
A     7246        991         6255        8497        7109        5957        1188        4195        1251        991         1                   15743/6255          
A     6102        598         5504        8854        6785        6763        4372        9190        2752        598         1                   3739/1376           
A     2611        1137        1474        4085        3811        9751        4981        2919        1474        1137        1                   3348/737            
A     4539        407         4132        5572        4831        519         5593        7252        1033        407         1                   10111/4132          
A     7781        293         7488        8197        1085        6888        3648        2306        416         293         1                   2663/1248           
A     3596        412         3184        5188        6360        1499        1369        6651        1592        412         1                   549/199             
A     6866        1058        5808        8318        6642        4356        6697        2095        1452        1058        1                   949/363             
A     4215        2065        2150        6365        4511        92          1594        5902        2150        2065        1                   1058/215            
A     5642        1556        4086        9728        3000        8030        5118        1768        4086        1556        1                   7685/2043           
A     1083        63          1020        1168        2287        4132        2819        9200        85          63          1                   2251/1020           
A     4806        405         4401        6273        9672        2310        2819        4053        1467        405         1                   1231/489            
A     7470        711         6759        9723        6625        1026        7246        7059        2253        711         1                   5731/2253           
A     5169        453         4716        5693        3423        4512        336         4988        524         453         1                   5431/2358           
A     5716        244         5472        7540        2260        1591        8033        300         1824        244         1                   1657/684            
A     6652        72          6580        8297        6840        7067        8033        1259        1645        72          1                   14949/6580          
A     1801        129         1672        2010        4422        5437        3753        6106        209         129         1                   3811/1672           
A     7234        235         6999        9567        538         6224        553         4317        2333        235         1                   16801/6999          
A     2615        1089        1526        4141        9525        8086        3436        8589        1526        1089        1                   3378/763            
A     3262        372         2890        6152        6909        2625        1000        567         2890        372         1                   4707/1445           
A     3553        96          3457        7010        7540        6227        7029        9930        3457        96          1                   10563/3457          
A     5031        281         4750        5981        3637        7357        4977        5185        950         281         1                   5506/2375           
A     5986        463         5523        6775        7814        20          4977        4481        789         463         1                   1823/789            
A     5200        1659        3541        8741        4690        6796        2077        283         3541        1659        1                   13941/3541          
A     1652        142         1510        1954        7937        8552        3495        6314        302         142         1                   1803/755            
A     7276        1762        5514        9114        2420        7409        2403        7060        1838        1762        1                   8195/2757           
A     5900        224         5676        7319        7741        637         7152        4764        1419        224         1                   13219/5676          
A     8431        115         8316        8683        7589        4326        6723        3944        252         115         1                   8557/4158           
A     2993        517         2476        3612        4990        9756        5792        3913        619         517         1                   6605/2476           
A     6612        946         5666        9445        5050        5163        2026        2787        2833        946         1                   16057/5666          
A     6972        420         6552        8610        2943        8578        4634        4308        1638        420         1                   371/156             
A     6580        3226        3354        9934        6843        2211        6466        3132        3354        3226        1                   8257/1677           
A     681         215         466         914         8031        9462        4256        5977        233         215         1                   1595/466            
A     4300        422         3878        6239        5022        2492        7556        3247        1939        422         1                   10539/3878          
A     1838        526         1312        3150        8331        8442        9820        1011        1312        526         1                   1247/328            
A     8783        620         8163        9690        8595        9742        2709        7700        907         620         1                   18473/8163          
A     3503        383         3120        4127        8217        4161        9522        8822        624         383         1                   763/312             
A     5898        694         5204        7199        9323        8176        3483        6592        1301        694         1                   13097/5204          
A     4703        517         4186        6796        1605        855         5654        2416        2093        517         1                   11499/4186          
A     5455        2620        2835        8290        4736        8222        6501        9151        2835        2620        1                   2749/567            
A     8366        20          8346        9757        3314        4012        1009        1991        1391        20          1                   6041/2782           
A     6138        882         5256        7452        8374        8273        3745        281         1314        882         1                   755/292             
A     4546        521         4025        8571        776         6934        3745        9364        4025        521         1                   13117/4025          
A     986         240         746         1732        6073        6291        1146        6189        746         240         1                   1359/373            
A     6744        2002        4742        9115        9543        3293        6748        2393        2371        2002        1                   15859/4742          
A     1283        40          1243        1396        1859        2778        671         3678        113         40          1                   2679/1243           
A     1926        6           1920        2886        1099        3068        6664        9704        960         6           1                   401/160             
A     8432        204         8228        8806        9043        5276        7761        5048        374         204         1                   507/242             
A     6059        249         5810        6889        448         6267        2673        8032        830         249         1                   78/35               
A     1318        206         1112        2430        2523        7254        1325        6226        1112        206         1                   937/278             
A     3831        874         2957        6788        5414        6290        8187        7758        2957        874         1                   10619/2957          
A     2263        761         1502        3765        7314        6235        4152        4662        1502        761         1                   3014/751            
A     5758        1894        3864        9622        6538        4831        4152        1415        3864        1894        1                   3845/966            
A     2815        31          2784        2902        9641        6595        7050        7307        87          31          1                   5717/2784           
A     6502        148         6354        7561        8006        8047        659         3573        1059        148         1                   14063/6354          
A     3204        14          3190        3233        758         3068        5955        263         29          14          1                   6437/3190           
A     1538        18          1520        1690        4530        6249        4785        7934        152         18          1                   807/380             
A     7166        1391        5775        9091        9745        4314        8431        2912        1925        1391        1                   5419/1925           
A     6016        166         5850        6341        1370        7840        6043        3143        325         166         1                   1373/650            
A     5715        774         4941        7362        9738        1143        7625        9746        1647        774         1                   1453/549            
A     5176        2125        3051        8227        902         7070        1724        588         3051        2125        1                   13403/3051          
A     3652        434         3218        5261        569         2374        3817        2348        1609        434         1                   8913/3218           
A     2365        172         2193        3096        3527        7255        6844        6494        731         172         1                   127/51              
A     4047        1693        2354        6401        5278        9498        8627        818         2354        1693        1                   5224/1177           
A     3500        1642        1858        5358        2079        3742        7999        1463        1858        1642        1                   4429/929            
A     3301        100         3201        4368        7957        5621        6353        2876        1067        100         1                   7669/3201           
A     3276        744         2532        5808        189         1771        1329        1586        2532        744         1                   757/211             
A     6588        60          6528        7132        1936        9044        9106        8299        544         60          1                   1715/816            
